City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,invercargill,-46.4,168.35,8.34,79,99,3.13,NZ,1727469302
84,pemba,-12.974,40.5178,25.39,94,20,3.21,MZ,1727469222
85,ezhva,61.8128,50.7283,16.88,48,0,6.0,RU,1727469305
86,ust-nera,64.5667,143.2,3.54,80,100,2.98,RU,1727469306
87,pangai,-19.8,-174.35,25.06,61,40,5.66,TO,1727469307
88,hamilton,39.1834,-84.5333,21.05,94,100,9.77,US,1727469275
89,berbera,10.4396,45.0143,32.05,63,74,5.48,SO,1727469309
90,jutai,-5.1833,-68.9,26.28,76,81,0.23,BR,1727469310
91,talnakh,69.4865,88.3972,0.45,99,100,5.59,RU,1727469311
92,margaret river,-33.95,115.0667,11.96,61,100,6.4,AU,1727469312
93,nemuro,43.3236,145.575,16.46,95,98,6.26,JP,1727469095
94,tshikapa,-6.4167,20.8,26.94,54,59,2.43,CD,1727469314
95,kruisfontein,-34.0033,24.7314,12.79,92,100,1.23,ZA,1727469316
96,jamestown,42.097,-79.2353,21.68,68,0,4.12,US,1727469193
97,toliara,-23.35,43.6667,22.95,85,37,2.75,MG,1727469318
98,bilibino,68.0546,166.4372,-5.52,81,14,1.04,RU,1727469135
99,kasamwa,-2.85,32.4333,21.33,77,69,1.65,TZ,1727469320
100,nagqu,31.5,92.0,4.16,91,100,0.98,CN,1727469321
101,weno,7.4515,151.8468,25.97,89,40,0.0,FM,1727469322
102,olonkinbyen,70.9221,-8.7187,-0.69,79,100,10.45,SJ,1727469323
103,georgetown,5.4112,100.3354,26.96,93,20,2.06,MY,1727469324
104,thompson,55.7435,-97.8558,17.09,48,75,2.57,CA,1727469325
105,lethem,3.3803,-59.7968,29.99,54,99,3.6,GY,1727469328
106,bethel,41.3712,-73.414,23.46,78,0,0.89,US,1727469330
107,ad dilam,23.9915,47.1627,29.13,23,91,1.15,SA,1727469331
108,moncks corner,33.196,-80.0131,31.69,50,0,7.2,US,1727469332
109,teshi old town,5.5836,-0.1072,26.31,89,100,7.72,GH,1727469333
110,guiratinga,-16.3494,-53.7583,27.15,52,100,1.06,BR,1727469334
111,labrador city,52.9463,-66.9114,15.95,54,75,4.47,CA,1727469335
112,flying fish cove,-10.4217,105.6791,24.82,94,100,3.6,CX,1727469336
113,twon-brass,4.3151,6.2418,26.32,80,100,5.28,NG,1727469338
114,amos,48.5669,-78.1162,19.2,63,52,0.68,CA,1727469321
115,ciudad lazaro cardenas,17.9583,-102.2,26.2,86,100,3.71,MX,1727469340
116,ponta delgada,37.7333,-25.6667,23.4,94,75,2.57,PT,1727469341
117,ha tinh,18.3333,105.9,24.68,93,49,0.62,VN,1727469342
118,port alfred,-33.5906,26.891,15.66,93,100,5.04,ZA,1727469343
119,lebu,-37.6167,-73.65,11.25,77,100,3.59,CL,1727469073
120,hadibu,12.65,54.0333,25.34,82,34,6.18,YE,1727469346
121,puerto deseado,-47.7503,-65.8938,15.89,34,98,8.87,AR,1727469347
122,sinjar,36.3209,41.8754,27.7,22,0,3.92,IQ,1727469348
123,qaqortoq,60.7167,-46.0333,4.07,84,76,2.3,GL,1727469349
